upstream_year,downstream_year,years_window,state,cace,se,up_num,down_num,upYear,downYear,year.x,timedistance,weights,upstream_type,downstream_type,voterfile_year,state_clean,state_upyear,state_downyear,GESTCEN,turnoutrate1819,N1819,turnoutrate1829,N1829,year.y,state.abb.x,Area,marginyear,downstream_margin,state.abb.y,battleground_PM,battleground_P,downstream_margin_b,downstream
00,02,00-02,AR,0.1333251256680874,0.0489082329621932,0,2,2000,2002,-4.352112676056322,2,418.05753511794506,Pres,Mid,2013,AR,AR_2000,AR_2002,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2002,0.06060000000000002,AR,1,0,0.06060000000000002,2002
00,02,00-02,CO,0.0862288598900767,0.02366013641163925,0,2,2000,2002,-4.352112676056322,2,1786.345711019153,Pres,Mid,2013,CO,CO_2000,CO_2002,84,0.19444444444444445,36,0.3764705882352941,255,2000,CO,Colorado,margin2002,0.30080000000000007,CO,0,0,0.30080000000000007,2002
00,02,00-02,CT,0.11726661699577923,0.026163708422329734,0,2,2000,2002,-4.352112676056322,2,1460.8357849439453,Pres,Mid,2013,CT,CT_2000,CT_2002,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2002,0.12219999999999999,CT,0,0,0.12219999999999999,2002
00,02,00-02,FL,0.1639053870809753,0.01738184439323901,0,2,2000,2002,-4.352112676056322,2,3309.849788985535,Pres,Mid,2013,FL,FL_2000,FL_2002,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2002,0.12959999999999994,FL,0,0,0.12959999999999994,2002
00,02,00-02,IL,0.12031035956309871,0.014316326899354668,0,2,2000,2002,-4.352112676056322,2,4879.067056320031,Pres,Mid,2013,IL,IL_2000,IL_2002,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2002,0.07319999999999993,IL,1,0,0.07319999999999993,2002
00,02,00-02,MI,0.12881505758002015,0.01217387256514868,0,2,2000,2002,-4.352112676056322,2,6747.4938504275115,Pres,Mid,2013,MI,MI_2000,MI_2002,34,0.2803738317757009,107,0.4144981412639405,538,2000,MI,Michigan,margin2002,0.040600000000000025,MI,1,0,0.040600000000000025,2002
00,02,00-02,MO,0.10965068773719115,0.0150762722735959,0,2,2000,2002,-4.352112676056322,2,4399.58847596803,Pres,Mid,2013,MO,MO_2000,MO_2002,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2002,NA,MO,0,0,1,2002
00,02,00-02,MT,0.13783273413175906,0.053426444135544836,0,2,2000,2002,-4.352112676056322,2,350.33817213995155,Pres,Mid,2013,MT,MT_2000,MT_2002,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2002,0.32819999999999994,MT,0,0,0.32819999999999994,2002
00,02,00-02,NV,0.237696639387891,0.0510715637782503,0,2,2000,2002,-4.352112676056322,2,383.3908009601481,Pres,Mid,2013,NV,NV_2000,NV_2002,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2002,0.5124000000000001,NV,0,0,0.5124000000000001,2002
00,02,00-02,OK,0.15646813595677778,0.03589151989548133,0,2,2000,2002,-4.352112676056322,2,776.2762522527437,Pres,Mid,2013,OK,OK_2000,OK_2002,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2002,0.007800000000000012,OK,1,0,0.007800000000000012,2002
00,04,00-04,AR,0.23850457227105282,0.08949275678551508,0,4,2000,2004,-2.352112676056322,4,124.86025769390048,Pres,Pres,2013,AR,AR_2000,AR_2004,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2004,0.09879999999999996,AR,1,1,0.09879999999999996,2004
00,04,00-04,CO,0.14314394938011807,0.05031410888075685,0,4,2000,2004,-2.352112676056322,4,395.02122321695714,Pres,Pres,2013,CO,CO_2000,CO_2004,84,0.19444444444444445,36,0.3764705882352941,255,2000,CO,Colorado,margin2004,0.04739999999999995,CO,1,1,0.04739999999999995,2004
00,04,00-04,CT,0.28900468720022343,0.07413098763546298,0,4,2000,2004,-2.352112676056322,4,181.97026502851188,Pres,Pres,2013,CT,CT_2000,CT_2004,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2004,0.10540000000000006,CT,0,0,0.10540000000000006,2004
00,04,00-04,FL,0.25002699878727874,0.03759294408679637,0,4,2000,2004,-2.352112676056322,4,707.5991824668233,Pres,Pres,2013,FL,FL_2000,FL_2004,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2004,0.05040000000000006,FL,1,1,0.05040000000000006,2004
00,04,00-04,IL,0.12540947264241167,0.029865569462998013,0,4,2000,2004,-2.352112676056322,4,1121.1362625533413,Pres,Pres,2013,IL,IL_2000,IL_2004,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2004,0.10420000000000001,IL,0,0,0.10420000000000001,2004
00,04,00-04,MO,0.1681930999189745,0.03141880175968723,0,4,2000,2004,-2.352112676056322,4,1013.0264011225747,Pres,Pres,2013,MO,MO_2000,MO_2004,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2004,0.07239999999999995,MO,1,1,0.07239999999999995,2004
00,04,00-04,MT,0.2408688414276299,0.08385926921436444,0,4,2000,2004,-2.352112676056322,4,142.1994291949416,Pres,Pres,2013,MT,MT_2000,MT_2004,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2004,0.21,MT,0,0,0.21,2004
00,04,00-04,NV,0.4071384641206963,0.09288565859558251,0,4,2000,2004,-2.352112676056322,4,115.90513322044876,Pres,Pres,2013,NV,NV_2000,NV_2004,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2004,0.026400000000000007,NV,1,1,0.026400000000000007,2004
00,04,00-04,OK,0.0748476600265595,0.07557465937822372,0,4,2000,2004,-2.352112676056322,4,175.0844608273231,Pres,Pres,2013,OK,OK_2000,OK_2004,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2004,0.31139999999999995,OK,0,0,0.31139999999999995,2004
00,06,00-06,AR,0.05994215741410959,0.06688505583120695,0,6,2000,2006,-0.352112676056322,6,223.53308513036308,Pres,Mid,2013,AR,AR_2000,AR_2006,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2006,0.15519999999999995,AR,0,0,0.15519999999999995,2006
00,06,00-06,CO,0.08301689242447262,0.0362315956498036,0,6,2000,2006,-0.352112676056322,6,761.7721274636726,Pres,Mid,2013,CO,CO_2000,CO_2006,84,0.19444444444444445,36,0.3764705882352941,255,2000,CO,Colorado,margin2006,0.17319999999999994,CO,0,0,0.17319999999999994,2006
00,06,00-06,CT,0.09810731184430048,0.04836135890355364,0,6,2000,2006,-0.352112676056322,6,427.56584836373133,Pres,Mid,2013,CT,CT_2000,CT_2006,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2006,0.28139999999999993,CT,0,0,0.28139999999999993,2006
00,06,00-06,FL,0.20527429057024818,0.041458877410838646,0,6,2000,2006,-0.352112676056322,6,581.7882195414292,Pres,Mid,2013,FL,FL_2000,FL_2006,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2006,0.07280000000000002,FL,1,0,0.07280000000000002,2006
00,06,00-06,IL,0.07350328617686189,0.019840999209472014,0,6,2000,2006,-0.352112676056322,6,2540.229296182991,Pres,Mid,2013,IL,IL_2000,IL_2006,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2006,0.11819999999999993,IL,0,0,0.11819999999999993,2006
00,06,00-06,MO,0.10803215873865941,0.0251322549417598,0,6,2000,2006,-0.352112676056322,6,1583.2047598638082,Pres,Mid,2013,MO,MO_2000,MO_2006,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2006,0.023400000000000035,MO,1,0,0.023400000000000035,2006
00,06,00-06,MT,0.315481909476102,0.08548597706538544,0,6,2000,2006,-0.352112676056322,6,136.83910982233664,Pres,Mid,2013,MT,MT_2000,MT_2006,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2006,0.009000000000000057,MT,1,0,0.009000000000000057,2006
00,06,00-06,NV,0.19587749136669377,0.06740876316725625,0,6,2000,2006,-0.352112676056322,6,220.07326296525352,Pres,Mid,2013,NV,NV_2000,NV_2006,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2006,0.04359999999999999,NV,1,0,0.04359999999999999,2006
00,06,00-06,OK,0.040191366151433504,0.05393822285857256,0,6,2000,2006,-0.352112676056322,6,343.7215276494733,Pres,Mid,2013,OK,OK_2000,OK_2006,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2006,0.33,OK,0,0,0.33,2006
00,08,00-08,AR,0.1942700947349468,0.11108574215262464,0,8,2000,2008,1.647887323943678,8,81.03700061299571,Pres,Pres,2013,AR,AR_2000,AR_2008,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2008,0.20340000000000003,AR,0,0,0.20340000000000003,2008
00,08,00-08,CO,0.196488122427976,0.06881599496145294,0,8,2000,2008,1.647887323943678,8,211.1646481814001,Pres,Pres,2013,CO,CO_2000,CO_2008,84,0.19444444444444445,36,0.3764705882352941,255,2000,CO,Colorado,margin2008,0.09099999999999994,CO,1,1,0.09099999999999994,2008
00,08,00-08,CT,0.253007515579269,0.10026439589187057,0,8,2000,2008,1.647887323943678,8,99.47329800318663,Pres,Pres,2013,CT,CT_2000,CT_2008,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2008,0.22640000000000002,CT,0,0,0.22640000000000002,2008
00,08,00-08,FL,0.24707346938216804,0.053813007897764255,0,8,2000,2008,1.647887323943678,8,345.3229676024181,Pres,Pres,2013,FL,FL_2000,FL_2008,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2008,0.028400000000000033,FL,1,1,0.028400000000000033,2008
00,08,00-08,IL,0.25812938854595197,0.04245294257227328,0,8,2000,2008,1.647887323943678,8,554.8612598051659,Pres,Pres,2013,IL,IL_2000,IL_2008,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2008,0.25459999999999994,IL,0,0,0.25459999999999994,2008
00,08,00-08,MO,0.10611000826577305,0.03620754263806329,0,8,2000,2008,1.647887323943678,8,762.7845684432069,Pres,Pres,2013,MO,MO_2000,MO_2008,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2008,0.0014000000000000056,MO,1,1,0.0014000000000000056,2008
00,08,00-08,MT,0.3665030770245258,0.12059538896965484,0,8,2000,2008,1.647887323943678,8,68.76043171034593,Pres,Pres,2013,MT,MT_2000,MT_2008,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2008,0.023400000000000035,MT,1,1,0.023400000000000035,2008
00,08,00-08,NV,0.41929935083106,0.12930578212969773,0,8,2000,2008,1.647887323943678,8,59.80866505116669,Pres,Pres,2013,NV,NV_2000,NV_2008,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2008,0.12780000000000002,NV,0,0,0.12780000000000002,2008
00,08,00-08,OK,0.2349916375125401,0.10633329032819372,0,8,2000,2008,1.647887323943678,8,88.44259863672045,Pres,Pres,2013,OK,OK_2000,OK_2008,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2008,0.31300000000000006,OK,0,0,0.31300000000000006,2008
00,10,00-10,AR,0.09078402729676618,0.07693497128720585,0,10,2000,2010,3.647887323943678,10,168.94774828359814,Pres,Mid,2013,AR,AR_2000,AR_2010,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2010,0.31400000000000006,AR,0,0,0.31400000000000006,2010
00,10,00-10,CT,0.09668529877189462,0.06143922118150152,0,10,2000,2010,3.647887323943678,10,264.91624849285586,Pres,Mid,2013,CT,CT_2000,CT_2010,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2010,0.0056000000000000225,CT,1,0,0.0056000000000000225,2010
00,10,00-10,FL,0.09865383421963357,0.03197052562059615,0,10,2000,2010,3.647887323943678,10,978.3639618905565,Pres,Mid,2013,FL,FL_2000,FL_2010,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2010,0.011800000000000067,FL,1,0,0.011800000000000067,2010
00,10,00-10,IL,0.04788591989854751,0.02834308568536686,0,10,2000,2010,3.647887323943678,10,1244.8176588862307,Pres,Mid,2013,IL,IL_2000,IL_2010,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2010,0.009200000000000017,IL,1,0,0.009200000000000017,2010
00,10,00-10,MO,0.07591962082221512,0.02619346289898266,0,10,2000,2010,3.647887323943678,10,1457.5187957712574,Pres,Mid,2013,MO,MO_2000,MO_2010,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2010,0.17340000000000003,MO,0,0,0.17340000000000003,2010
00,10,00-10,MT,0.1759460999810791,0.08618719302497732,0,10,2000,2010,3.647887323943678,10,134.62153140687786,Pres,Mid,2013,MT,MT_2000,MT_2010,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2010,NA,MT,0,0,1,2010
00,10,00-10,NV,0.31510352427798527,0.08860165474935684,0,10,2000,2010,3.647887323943678,10,127.38442588087123,Pres,Mid,2013,NV,NV_2000,NV_2010,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2010,0.12359999999999999,NV,0,0,0.12359999999999999,2010
00,10,00-10,OK,0.1548229533238956,0.07773463360465512,0,10,2000,2010,3.647887323943678,10,165.48966933998116,Pres,Mid,2013,OK,OK_2000,OK_2010,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2010,0.20900000000000005,OK,0,0,0.20900000000000005,2010
00,12,00-12,AR,0.21384247733837705,0.1223101635902574,0,12,2000,2012,5.647887323943678,12,66.845920162657535,Pres,Pres,2013,AR,AR_2000,AR_2012,71,0.4146341463414634,41,0.4034334763948498,233,2000,AR,Arkansas,margin2012,0.24299999999999997,AR,0,0,0.24299999999999997,2012
00,12,00-12,CT,0.10566590376049244,0.09537691417928364,0,12,2000,2012,5.647887323943678,12,109.9293007928374,Pres,Pres,2013,CT,CT_2000,CT_2012,16,0.25,28,0.448,125,2000,CT,Connecticut,margin2012,0.17540000000000006,CT,0,0,0.17540000000000006,2012
00,12,00-12,FL,0.17581444669735913,0.060623011709612595,0,12,2000,2012,5.647887323943678,12,272.09777091705075,Pres,Pres,2013,FL,FL_2000,FL_2012,59,0.3235294117647059,136,0.4071207430340557,646,2000,FL,Florida,margin2012,0.008799999999999954,FL,1,1,0.008799999999999954,2012
00,12,00-12,IL,0.2542115777692356,0.0466128239025802,0,12,2000,2012,5.647887323943678,12,460.24509800420435,Pres,Pres,2013,IL,IL_2000,IL_2012,33,0.37398373983739835,123,0.4562146892655367,708,2000,IL,Illinois,margin2012,0.17159999999999997,IL,0,0,0.17159999999999997,2012
00,12,00-12,MO,0.11686120090762453,0.03901817595553374,0,12,2000,2012,5.647887323943678,12,656.8498033660416,Pres,Pres,2013,MO,MO_2000,MO_2012,43,0.03571428571428571,28,0.37640449438202245,178,2000,MO,Missouri,margin2012,0.09560000000000002,MO,1,1,0.09560000000000002,2012
00,12,00-12,MT,0.3434049127002029,0.12261345297355321,0,12,2000,2012,5.647887323943678,12,66.51563692618501,Pres,Pres,2013,MT,MT_2000,MT_2012,81,0.4318181818181818,44,0.41409691629955947,227,2000,MT,Montana,margin2012,0.14060000000000003,MT,0,0,0.14060000000000003,2012
00,12,00-12,NV,0.45748333760234355,0.14328096054412168,0,12,2000,2012,5.647887323943678,12,48.71054978096902,Pres,Pres,2013,NV,NV_2000,NV_2012,88,0.2222222222222222,27,0.3193717277486911,191,2000,NV,Nevada,margin2012,0.06819999999999993,NV,1,1,0.06819999999999993,2012
00,12,00-12,OK,0.19486986700745923,0.10916344049262316,0,12,2000,2012,5.647887323943678,12,83.9161538175137,Pres,Pres,2013,OK,OK_2000,OK_2012,73,0.2777777777777778,36,0.38114754098360654,244,2000,OK,Oklahoma,margin2012,0.3354,OK,0,0,0.3354,2012
02,04,02-04,AR,0.3258218961755514,0.15032801904065382,2,4,2002,2004,-2.352112676056322,2,44.25069854553602,Mid,Pres,2013,AR,AR_2002,AR_2004,71,0.08823529411764706,34,0.22058823529411764,204,2002,AR,Arkansas,margin2004,0.09879999999999996,AR,1,1,0.09879999999999996,2004
02,04,02-04,CO,0.142922177584648,0.09676873317325405,2,4,2002,2004,-2.352112676056322,2,106.78982842995079,Mid,Pres,2013,CO,CO_2002,CO_2004,84,0.19672131147540983,61,0.29411764705882354,374,2002,CO,Colorado,margin2004,0.04739999999999995,CO,1,1,0.04739999999999995,2004
02,04,02-04,CT,0.08982246252470617,0.15579909432991748,2,4,2002,2004,-2.352112676056322,2,41.1974317062247,Mid,Pres,2013,CT,CT_2002,CT_2004,16,0.1568627450980392,51,0.23228346456692914,254,2002,CT,Connecticut,margin2004,0.10540000000000006,CT,0,0,0.10540000000000006,2004
02,04,02-04,FL,0.06418826748760449,0.06617913411451429,2,4,2002,2004,-2.352112676056322,2,228.327298823919,Mid,Pres,2013,FL,FL_2002,FL_2004,59,0.21428571428571427,126,0.23259493670886075,632,2002,FL,Florida,margin2004,0.05040000000000006,FL,1,1,0.05040000000000006,2004
02,04,02-04,IL,0.1853145156866115,0.07106558529928755,2,4,2002,2004,-2.352112676056322,2,198.00735637758038,Mid,Pres,2013,IL,IL_2002,IL_2004,33,0.1391304347826087,115,0.23873873873873874,666,2002,IL,Illinois,margin2004,0.10420000000000001,IL,0,0,0.10420000000000001,2004
02,04,02-04,MO,0.24176984157601158,0.07493203244890743,2,4,2002,2004,-2.352112676056322,2,178.10043285151892,Mid,Pres,2013,MO,MO_2002,MO_2004,43,0.1746031746031746,63,0.2542955326460481,291,2002,MO,Missouri,margin2004,0.07239999999999995,MO,1,1,0.07239999999999995,2004
02,04,02-04,MT,0.4254812046810978,0.0993343267742062,2,4,2002,2004,-2.352112676056322,2,101.34475905605062,Mid,Pres,2013,MT,MT_2002,MT_2004,81,0.2,40,0.2620320855614973,187,2002,MT,Montana,margin2004,0.21,MT,0,0,0.21,2004
02,04,02-04,NV,0.38263566887321065,0.12151022261855213,2,4,2002,2004,-2.352112676056322,2,67.7289537623463,Mid,Pres,2013,NV,NV_2002,NV_2004,88,0.1509433962264151,53,0.22096317280453256,353,2002,NV,Nevada,margin2004,0.026400000000000007,NV,1,1,0.026400000000000007,2004
02,04,02-04,NY,0.12961354656111995,0.07876267708474277,2,4,2002,2004,-2.352112676056322,2,161.19778201350678,Mid,Pres,2013,NY,NY_2002,NY_2004,21,0.12422360248447205,161,0.20693512304250558,894,2002,NY,New York,margin2004,0.1858,NY,0,0,0.1858,2004
02,04,02-04,OK,0.395247642373735,0.1584152280423694,2,4,2002,2004,-2.352112676056322,2,39.84796491034724,Mid,Pres,2013,OK,OK_2002,OK_2004,73,0.20930232558139536,43,0.2518796992481203,266,2002,OK,Oklahoma,margin2004,0.31139999999999995,OK,0,0,0.31139999999999995,2004
02,06,02-06,AR,0.14742718614155162,0.10011556201931204,2,6,2002,2006,-0.352112676056322,4,99.76927598236273,Mid,Mid,2013,AR,AR_2002,AR_2006,71,0.08823529411764706,34,0.22058823529411764,204,2002,AR,Arkansas,margin2006,0.15519999999999995,AR,0,0,0.15519999999999995,2006
02,06,02-06,CO,0.20195616119718318,0.06624946829772047,2,6,2002,2006,-0.352112676056322,4,227.84274582164375,Mid,Mid,2013,CO,CO_2002,CO_2006,84,0.19672131147540983,61,0.29411764705882354,374,2002,CO,Colorado,margin2006,0.17319999999999994,CO,0,0,0.17319999999999994,2006
02,06,02-06,CT,0.2347832247598417,0.10092634152930935,2,6,2002,2006,-0.352112676056322,4,98.1727458808482,Mid,Mid,2013,CT,CT_2002,CT_2006,16,0.1568627450980392,51,0.23228346456692914,254,2002,CT,Connecticut,margin2006,0.28139999999999993,CT,0,0,0.28139999999999993,2006
02,06,02-06,FL,0.24394588196789635,0.0702310395079486,2,6,2002,2006,-0.352112676056322,4,202.7411039075075,Mid,Mid,2013,FL,FL_2002,FL_2006,59,0.21428571428571427,126,0.23259493670886075,632,2002,FL,Florida,margin2006,0.07280000000000002,FL,1,0,0.07280000000000002,2006
02,06,02-06,IL,0.17763373599847407,0.039810963998020164,2,6,2002,2006,-0.352112676056322,4,630.949516997877,Mid,Mid,2013,IL,IL_2002,IL_2006,33,0.1391304347826087,115,0.23873873873873874,666,2002,IL,Illinois,margin2006,0.11819999999999993,IL,0,0,0.11819999999999993,2006
02,06,02-06,MO,0.28631255670415245,0.05391935327846827,2,6,2002,2006,-0.352112676056322,4,343.96214684841937,Mid,Mid,2013,MO,MO_2002,MO_2006,43,0.1746031746031746,63,0.2542955326460481,291,2002,MO,Missouri,margin2006,0.023400000000000035,MO,1,0,0.023400000000000035,2006
02,06,02-06,MT,0.27239726425236016,0.10424674876396038,2,6,2002,2006,-0.352112676056322,4,92.01846021320608,Mid,Mid,2013,MT,MT_2002,MT_2006,81,0.2,40,0.2620320855614973,187,2002,MT,Montana,margin2006,0.009000000000000057,MT,1,0,0.009000000000000057,2006
02,06,02-06,NV,0.23796737107284247,0.07498735127266444,2,6,2002,2006,-0.352112676056322,4,177.83775728763877,Mid,Mid,2013,NV,NV_2002,NV_2006,88,0.1509433962264151,53,0.22096317280453256,353,2002,NV,Nevada,margin2006,0.04359999999999999,NV,1,0,0.04359999999999999,2006
02,06,02-06,NY,0.287975304495868,0.03643823087929892,2,6,2002,2006,-0.352112676056322,4,753.1568552946263,Mid,Mid,2013,NY,NY_2002,NY_2006,21,0.12422360248447205,161,0.20693512304250558,894,2002,NY,New York,margin2006,0.4156,NY,0,0,0.4156,2006
02,06,02-06,OK,0.0784835724479242,0.09314156246909522,2,6,2002,2006,-0.352112676056322,4,115.26911583007036,Mid,Mid,2013,OK,OK_2002,OK_2006,73,0.20930232558139536,43,0.2518796992481203,266,2002,OK,Oklahoma,margin2006,0.33,OK,0,0,0.33,2006
02,08,02-08,AR,0.5037820115269714,0.18211755401184876,2,8,2002,2008,1.647887323943678,6,30.15062939741434,Mid,Pres,2013,AR,AR_2002,AR_2008,71,0.08823529411764706,34,0.22058823529411764,204,2002,AR,Arkansas,margin2008,0.20340000000000003,AR,0,0,0.20340000000000003,2008
02,08,02-08,CO,0.3687718536745597,0.12177790727335427,2,8,2002,2008,1.647887323943678,6,67.43152583161488,Mid,Pres,2013,CO,CO_2002,CO_2008,84,0.19672131147540983,61,0.29411764705882354,374,2002,CO,Colorado,margin2008,0.09099999999999994,CO,1,1,0.09099999999999994,2008
02,08,02-08,CT,0.4680121365403141,0.20705857759111346,2,8,2002,2008,1.647887323943678,6,23.32456470593309,Mid,Pres,2013,CT,CT_2002,CT_2008,16,0.1568627450980392,51,0.23228346456692914,254,2002,CT,Connecticut,margin2008,0.22640000000000002,CT,0,0,0.22640000000000002,2008
02,08,02-08,FL,0.0771116836672017,0.08535397947327612,2,8,2002,2008,1.647887323943678,6,137.26267295655745,Mid,Pres,2013,FL,FL_2002,FL_2008,59,0.21428571428571427,126,0.23259493670886075,632,2002,FL,Florida,margin2008,0.028400000000000033,FL,1,1,0.028400000000000033,2008
02,08,02-08,IL,0.237518380963317,0.08878065655559725,2,8,2002,2008,1.647887323943678,6,126.87127231395756,Mid,Pres,2013,IL,IL_2002,IL_2008,33,0.1391304347826087,115,0.23873873873873874,666,2002,IL,Illinois,margin2008,0.25459999999999994,IL,0,0,0.25459999999999994,2008
02,08,02-08,MO,0.18737800657416973,0.0911386974731755,2,8,2002,2008,1.647887323943678,6,120.39109513736668,Mid,Pres,2013,MO,MO_2002,MO_2008,43,0.1746031746031746,63,0.2542955326460481,291,2002,MO,Missouri,margin2008,0.0014000000000000056,MO,1,1,0.0014000000000000056,2008
02,08,02-08,MT,0.510906966882704,0.15037438351947502,2,8,2002,2008,1.647887323943678,6,44.22341538418397,Mid,Pres,2013,MT,MT_2002,MT_2008,81,0.2,40,0.2620320855614973,187,2002,MT,Montana,margin2008,0.023400000000000035,MT,1,1,0.023400000000000035,2008
02,08,02-08,NV,0.3734401585737986,0.1605412354857147,2,8,2002,2008,1.647887323943678,6,38.79955979177036,Mid,Pres,2013,NV,NV_2002,NV_2008,88,0.1509433962264151,53,0.22096317280453256,353,2002,NV,Nevada,margin2008,0.12780000000000002,NV,0,0,0.12780000000000002,2008
02,08,02-08,NY,0.20398022547177228,0.07758732334058245,2,8,2002,2008,1.647887323943678,6,166.11867595224126,Mid,Pres,2013,NY,NY_2002,NY_2008,21,0.12422360248447205,161,0.20693512304250558,894,2002,NY,New York,margin2008,0.27159999999999995,NY,0,0,0.27159999999999995,2008
02,08,02-08,OK,0.3638495994529332,0.21058116014460213,2,8,2002,2008,1.647887323943678,6,22.550749047327912,Mid,Pres,2013,OK,OK_2002,OK_2008,73,0.20930232558139536,43,0.2518796992481203,266,2002,OK,Oklahoma,margin2008,0.31300000000000006,OK,0,0,0.31300000000000006,2008
02,10,02-10,AR,0.21304368056270245,0.1070771218965899,2,10,2002,2010,3.647887323943678,8,87.21809994186788,Mid,Mid,2013,AR,AR_2002,AR_2010,71,0.08823529411764706,34,0.22058823529411764,204,2002,AR,Arkansas,margin2010,0.31400000000000006,AR,0,0,0.31400000000000006,2010
02,10,02-10,CT,0.2718611152352101,0.12686747197029366,2,10,2002,2010,3.647887323943678,8,62.12972453270672,Mid,Mid,2013,CT,CT_2002,CT_2010,16,0.1568627450980392,51,0.23228346456692914,254,2002,CT,Connecticut,margin2010,0.0056000000000000225,CT,1,0,0.0056000000000000225,2010
02,10,02-10,FL,0.04931528656405243,0.04835314844121536,2,10,2002,2010,3.647887323943678,8,427.7110637821449,Mid,Mid,2013,FL,FL_2002,FL_2010,59,0.21428571428571427,126,0.23259493670886075,632,2002,FL,Florida,margin2010,0.011800000000000067,FL,1,0,0.011800000000000067,2010
02,10,02-10,IL,0.250578833251527,0.05691638531237628,2,10,2002,2010,3.647887323943678,8,308.69200275141435,Mid,Mid,2013,IL,IL_2002,IL_2010,33,0.1391304347826087,115,0.23873873873873874,666,2002,IL,Illinois,margin2010,0.009200000000000017,IL,1,0,0.009200000000000017,2010
02,10,02-10,MO,0.1554705194762912,0.05387278101812967,2,10,2002,2010,3.647887323943678,8,344.5571047654831,Mid,Mid,2013,MO,MO_2002,MO_2010,43,0.1746031746031746,63,0.2542955326460481,291,2002,MO,Missouri,margin2010,0.17340000000000003,MO,0,0,0.17340000000000003,2010
02,10,02-10,MT,0.304942496028886,0.09941583299687848,2,10,2002,2010,3.647887323943678,8,101.17865186429036,Mid,Mid,2013,MT,MT_2002,MT_2010,81,0.2,40,0.2620320855614973,187,2002,MT,Montana,margin2010,NA,MT,0,0,1,2010
02,10,02-10,NV,0.3014906652211914,0.10918298527630124,2,10,2002,2010,3.647887323943678,8,83.88611294126245,Mid,Mid,2013,NV,NV_2002,NV_2010,88,0.1509433962264151,53,0.22096317280453256,353,2002,NV,Nevada,margin2010,0.12359999999999999,NV,0,0,0.12359999999999999,2010
02,10,02-10,NY,0.1031643170926961,0.030193193766294656,2,10,2002,2010,3.647887323943678,8,1096.937520697976,Mid,Mid,2013,NY,NY_2002,NY_2010,21,0.12422360248447205,161,0.20693512304250558,894,2002,NY,New York,margin2010,0.30580000000000007,NY,0,0,0.30580000000000007,2010
02,10,02-10,OK,0.17261663922004344,0.14195081697539086,2,10,2002,2010,3.647887323943678,8,49.62770674058199,Mid,Mid,2013,OK,OK_2002,OK_2010,73,0.20930232558139536,43,0.2518796992481203,266,2002,OK,Oklahoma,margin2010,0.20900000000000005,OK,0,0,0.20900000000000005,2010
